Source,Target,Type,Weight
11433,13303,Directed,3
14869,12478,Directed,8
14057,14869,Directed,3
15016,11433,Directed,2
11193,12892,Directed,2
10397,15016,Directed,5
15016,10397,Directed,5
10397,14869,Directed,3
10397,10423,Directed,6
11278,10397,Directed,11
14107,13487,Directed,5
11433,11298,Directed,4
11298,11433,Directed,5
11433,12892,Directed,5
10397,12451,Directed,11
12451,10397,Directed,15
12953,10397,Directed,15
11433,12953,Directed,8
10397,14771,Directed,4
13204,10397,Directed,13
13487,12889,Directed,5
12889,13487,Directed,3
10397,14027,Directed,5
14027,10397,Directed,7
13244,10397,Directed,11
12953,11697,Directed,6
10397,12892,Directed,11
14869,14747,Directed,4
14747,14869,Directed,5
10423,10397,Directed,5
11292,12953,Directed,2
14869,14893,Directed,4
14869,14908,Directed,3
12892,15304,Directed,2
10397,11193,Directed,8
10397,11278,Directed,14
10397,13198,Directed,6
13198,10397,Directed,6
11057,10397,Directed,10
11433,13487,Directed,8
13487,11433,Directed,10
10397,14100,Directed,11
14100,10397,Directed,11
12478,10397,Directed,6
12889,11433,Directed,8
10397,14683,Directed,5
11697,12953,Directed,2
12892,10693,Directed,2
13487,13198,Directed,3
13198,13487,Directed,5
12339,10397,Directed,6
12478,12892,Directed,12
14869,13487,Directed,6
12266,11433,Directed,2
14747,10397,Directed,6
15304,10397,Directed,16
13487,14635,Directed,4
14635,13487,Directed,5
13930,10397,Directed,10
14679,14869,Directed,9
12478,10721,Directed,2
10397,12953,Directed,16
14100,14869,Directed,2
14869,14100,Directed,2
13204,11193,Directed,4
13487,14057,Directed,2
14057,13487,Directed,4
13487,14107,Directed,6
10721,10397,Directed,7
10397,10821,Directed,10
10821,10397,Directed,9
10397,13931,Directed,5
11433,11057,Directed,5
14107,11433,Directed,4
11066,10397,Directed,5
11433,10397,Directed,12
14747,13487,Directed,6
11433,12889,Directed,6
10397,11292,Directed,7
10397,13495,Directed,8
13495,10397,Directed,8
10397,13244,Directed,7
10397,10140,Directed,2
10140,10397,Directed,1
10397,10792,Directed,5
10792,10397,Directed,3
14492,11433,Directed,1
10397,15376,Directed,1
13487,10397,Directed,12
10397,11066,Directed,5
12953,11433,Directed,11
10397,11697,Directed,6
11433,13204,Directed,5
14635,10397,Directed,7
10397,15304,Directed,15
13487,14747,Directed,5
14747,12173,Directed,2
11618,11433,Directed,2
14771,12478,Directed,8
14869,12892,Directed,4
10397,11618,Directed,11
13487,15304,Directed,2
11433,11278,Directed,6
12173,14747,Directed,2
10397,12266,Directed,6
10397,11057,Directed,9
14908,14869,Directed,3
14057,12478,Directed,2
13487,14869,Directed,9
13487,13342,Directed,7
13342,13487,Directed,5
12892,12478,Directed,9
11433,13342,Directed,2
13204,13244,Directed,3
14730,10397,Directed,7
10397,14679,Directed,4
14679,10397,Directed,2
12892,13487,Directed,5
10397,13204,Directed,20
11193,14869,Directed,2
13204,12889,Directed,2
12889,13204,Directed,2
13204,12953,Directed,6
14869,14679,Directed,8
13487,14831,Directed,3
10397,12339,Directed,5
10397,14122,Directed,7
14122,10397,Directed,12
15016,13487,Directed,2
12953,13204,Directed,4
10397,10721,Directed,10
10397,11042,Directed,2
13487,12953,Directed,5
13204,13487,Directed,5
11193,14635,Directed,2
14635,11193,Directed,2
13487,14771,Directed,5
14771,13487,Directed,6
10693,10397,Directed,6
10397,11298,Directed,10
11298,10397,Directed,11
14869,10299,Directed,2
11193,10397,Directed,9
12953,13487,Directed,6
13487,11697,Directed,2
11697,13487,Directed,2
13487,12892,Directed,5
13244,11433,Directed,4
14869,10397,Directed,6
11697,10397,Directed,7
13204,11433,Directed,6
10397,14747,Directed,6
12892,14869,Directed,4
12892,13495,Directed,3
11433,14869,Directed,4
11618,10397,Directed,13
11057,11433,Directed,3
11193,12889,Directed,2
12889,11193,Directed,2
14869,11433,Directed,6
10397,12478,Directed,6
10397,14492,Directed,6
